-00:00:01.9550000		Dengue Fever casts Glare on Ramuh
-00:00:01.8210000		Aihyooni Yoomi casts Broil III on Ramuh
-00:00:01.7320000		Yoo Rose casts Ruin III on Ramuh
-00:00:01.1990000		Run Escape casts Ruin III on Ramuh
-00:00:00.7110000		Minju Rose casts Holy Spirit on Ramuh
00:00:00		Dengue Fever prepares Glare on Ramuh 21792
00:00:00.1330000		Blue Fever gains Raging Strikes from Blue Fever
00:00:00.1340000		Aihyooni Yoomi prepares Broil III on Ramuh 21344
00:00:00.1780000		Yoo Rose prepares Ruin III on Ramuh 21210 (CRITICAL)
00:00:00.2660000		Minju Rose prepares Holy Spirit on Ramuh 11941 (DIRECT HIT)
00:00:00.5320000		Ifrit-Egi prepares Burning Strike on Ramuh 7196 (CRITICAL)
00:00:00.5330000		Dan Tam prepares Suiton on Ramuh 30404 (DIRECT HIT)
00:00:00.5330000		Dan Tam gains Suiton from Dan Tam
00:00:00.7540000		Aihyooni Yoomi prepares Biolysis on Ramuh 
00:00:00.7980000		Run Escape prepares Ruin III on Ramuh 17311 (DIRECT HIT)
00:00:00.9320000		The limit break guage has been updated to 0. 3 bars are available.
00:00:00.9320000		Aihyooni Yoomi Broil III Ramuh 21344
00:00:00.9760000		Yoo Rose Ruin III Ramuh 21210
00:00:01.0200000		Minju Rose Holy Spirit Ramuh 11941
00:00:01.0640000		Yoo Rose prepares Assault I: Crimson Cyclone on Ramuh +239 (CRITICAL)
00:00:01.1530000		Blue Fever prepares Stormbite on Ramuh 8363 (CRITICAL)
00:00:01.1530000		Blue Fever prepares Shot on Ramuh 4561
00:00:01.1530000		Blue Fever gains Straight Shot Ready from Blue Fever
00:00:01.2410000		Dan Tam prepares Kassatsu on Dan Tam 
00:00:01.2410000		Dan Tam gains Kassatsu from Dan Tam
00:00:01.2850000		Ruby Carbuncle prepares Burning Strike on Ramuh 4081
00:00:01.3300000		Dengue Fever Glare Ramuh 21792
00:00:01.3300000		Ifrit-Egi Burning Strike Ramuh 7196
00:00:01.4190000		Ramuh gains Biolysis from Aihyooni Yoomi
00:00:01.4190000		Dengue Fever prepares Dia on Ramuh 8074
00:00:01.5080000		Dan Tam Suiton Ramuh 30404
00:00:01.5080000		Aihyooni Yoomi gains Aetherflow from Aihyooni Yoomi
00:00:01.5080000		Aihyooni Yoomi prepares Aetherflow on Aihyooni Yoomi 1000
00:00:01.5080000		Run Escape prepares Assault I: Crimson Cyclone on Ramuh +239 (CRITICAL)
00:00:01.5970000		Run Escape Ruin III Ramuh 17311
00:00:01.7290000		Ruby Carbuncle gains Summon Order from Ramuh
00:00:01.7740000		Yoo Rose prepares Tri-Disaster on Ramuh 24751 (DIRECT HIT)
00:00:01.7740000		Ramuh gains Bio III from Yoo Rose
00:00:01.7740000		Ramuh gains Miasma III from Yoo Rose
00:00:01.8180000		Blue Fever prepares Bloodletter on Ramuh 8127
00:00:01.8620000		Ruby Carbuncle prepares Crimson Cyclone on Ramuh 25396 (CRITICAL)
00:00:01.9060000		Blue Fever Shot Ramuh 4561
00:00:01.9960000		Dan Tam prepares Spinning Edge on Ramuh 8287
00:00:01.9960000		The limit break guage has been updated to 170. 3 bars are available.
00:00:02.0840000		Ruby Carbuncle Burning Strike Ramuh 4081
00:00:02.1730000		Ifrit-Egi gains Summon Order from Ramuh
00:00:02.2620000		Dengue Fever prepares Assize on Dengue Fever +18847
00:00:02.2620000		Dengue Fever prepares Assize on Ramuh 34770 (DIRECT HIT)
00:00:02.2620000		Dengue Fever prepares Assize on Yujin Ahn +18135
00:00:02.2620000		Dengue Fever prepares Assize on Dan Tam +17899
00:00:02.2620000		Dengue Fever prepares Assize on Aihyooni Yoomi +18258
00:00:02.2620000		Dengue Fever prepares Assize on Run Escape +29083 (CRITICAL)
00:00:02.2620000		Dengue Fever prepares Assize on Minju Rose +28786 (CRITICAL)
00:00:02.2620000		Dengue Fever prepares Assize on Blue Fever +18534
00:00:02.2620000		Dengue Fever prepares Assize on Yoo Rose +18352
00:00:02.3510000		Minju Rose prepares Attack on Ramuh 2317
00:00:02.3510000		Aihyooni Yoomi gains Aetherflow from Aihyooni Yoomi
00:00:02.3510000		Aihyooni Yoomi prepares Energy Drain on Ramuh 11174
00:00:02.3510000		Run Escape gains Aetherflow from Run Escape
00:00:02.3510000		Run Escape prepares Energy Drain on Ramuh 8293 (DIRECT HIT)
00:00:02.3950000		Dan Tam Spinning Edge Ramuh 8287
00:00:02.3950000		Yujin Ahn prepares Heavy Swing on Ramuh 8807 (CRITICAL)
00:00:02.3950000		Yujin Ahn prepares Attack on Ramuh 3742
00:00:02.4400000		Blue Fever Stormbite Ramuh 8363
00:00:02.4400000		Ramuh gains Stormbite from Blue Fever
00:00:02.4840000		Ruby Carbuncle Crimson Cyclone Ramuh 25396
00:00:02.4840000		Yoo Rose gains Further Ruin from Yoo Rose
00:00:02.5280000		Yoo Rose prepares Dreadwyrm Trance on Yoo Rose 
00:00:02.5740000		Yoo Rose Tri-Disaster Ramuh 24751
00:00:02.5740000		Ifrit-Egi prepares Crimson Cyclone on Ramuh 17298 (DIRECT HIT)
00:00:02.5740000		Blue Fever prepares The Wanderer's Minuet on Ramuh 4775
00:00:02.5740000		Dan Tam prepares Attack on Ramuh 3879
00:00:02.5740000		Yoo Rose gains The Wanderer's Minuet from Blue Fever
00:00:02.5740000		Minju Rose gains The Wanderer's Minuet from Blue Fever
00:00:02.5740000		Dengue Fever gains The Wanderer's Minuet from Blue Fever
00:00:02.5740000		Ruby Carbuncle gains The Wanderer's Minuet from Blue Fever
00:00:02.5740000		Eos gains The Wanderer's Minuet from Blue Fever
00:00:02.5740000		Yujin Ahn gains The Wanderer's Minuet from Blue Fever
00:00:02.5740000		Ifrit-Egi gains The Wanderer's Minuet from Blue Fever
00:00:02.5740000		Aihyooni Yoomi gains The Wanderer's Minuet from Blue Fever
00:00:02.5740000		Dan Tam gains The Wanderer's Minuet from Blue Fever
00:00:02.5740000		Run Escape gains The Wanderer's Minuet from Blue Fever
00:00:02.7500000		Dengue Fever Dia Ramuh 8074
00:00:02.7500000		Ramuh gains Dia from Dengue Fever
00:00:02.8830000		Minju Rose Attack Ramuh 2317
00:00:02.9280000		Yujin Ahn Heavy Swing Ramuh 8807
00:00:02.9280000		Yujin Ahn Attack Ramuh 3742
00:00:02.9280000		Minju Rose prepares Fast Blade on Ramuh 5746
00:00:03.0160000		Ramuh prepares Unknown_4Bc9 on Minju Rose 0
00:00:03.0160000		Dengue Fever prepares Presence Of Mind on Dengue Fever 
00:00:03.0600000		Dengue Fever Assize Ramuh 34770
00:00:03.1050000		Dan Tam Attack Ramuh 3879
00:00:03.1490000		Run Escape prepares Tri-Disaster on Ramuh 26771 (DIRECT HIT)
00:00:03.1490000		Ramuh gains Bio III from Run Escape
00:00:03.1490000		Ramuh gains Miasma III from Run Escape
00:00:03.1940000		Ifrit-Egi Crimson Cyclone Ramuh 17298
00:00:03.1940000		Run Escape gains Further Ruin from Run Escape
00:00:03.2370000		Blue Fever The Wanderer's Minuet Ramuh 4775
00:00:03.4150000		Blue Fever Bloodletter Ramuh 8127
00:00:03.4150000		Aihyooni Yoomi Energy Drain Ramuh 11174
00:00:03.4150000		Run Escape Energy Drain Ramuh 8293
00:00:03.5040000		Yoo Rose prepares Assault Ii: Flaming Crush on Ramuh +239 (CRITICAL)
00:00:03.5490000		Minju Rose Fast Blade Ramuh 5746
00:00:03.5490000		Ramuh Unknown_4Bc9 Minju Rose 0
00:00:03.5490000		Dengue Fever gains Presence Of Mind from Dengue Fever
00:00:03.6370000		Blue Fever prepares Caustic Bite on Ramuh 8548
00:00:03.6820000		Ifrit-Egi prepares Burning Strike on Ramuh 4567
00:00:03.6820000		Minju Rose prepares Circle Of Scorn on Ramuh 3297
00:00:03.9480000		Run Escape Tri-Disaster Ramuh 26771
00:00:04.0360000		Run Escape prepares Assault Ii: Flaming Crush on Ramuh +239 (CRITICAL)
00:00:04.0810000		Dan Tam prepares Gust Slash on Ramuh 12706
00:00:04.1690000		Ruby Carbuncle gains Summon Order II from Ruby Carbuncle
00:00:04.2140000		Ruby Carbuncle prepares Flaming Crush on Ramuh 12869
00:00:04.2140000		Yoo Rose prepares Enkindle: Inferno on Ramuh +239 (CRITICAL)
00:00:04.2140000		Blue Fever prepares Shot on Ramuh 4677
00:00:04.3030000		Blue Fever prepares Empyreal Arrow on Ramuh 12073
00:00:04.4360000		Minju Rose prepares Fight Or Flight on Minju Rose 
00:00:04.4800000		Ifrit-Egi Burning Strike Ramuh 4567
00:00:04.4800000		Dan Tam Gust Slash Ramuh 12706
00:00:04.6130000		Minju Rose prepares Attack on Ramuh 2423
00:00:04.7020000		Minju Rose Circle Of Scorn Ramuh 3297
00:00:04.7020000		Ramuh gains Circle Of Scorn from Minju Rose
00:00:04.7020000		Ifrit-Egi gains Summon Order II from Ifrit-Egi
00:00:04.7460000		Ifrit-Egi prepares Flaming Crush on Ramuh 14108
00:00:04.7460000		Yujin Ahn prepares Maim on Ramuh 8661
00:00:04.7460000		Dan Tam prepares Mug on Ramuh 7708 (DIRECT HIT)
00:00:04.7910000		Ruby Carbuncle prepares Burning Strike on Ramuh 5182 (DIRECT HIT)
00:00:04.7910000		Dan Tam prepares Attack on Ramuh 4783 (DIRECT HIT)
00:00:04.8800000		Ruby Carbuncle gains Summon Order III from Ramuh
00:00:04.8800000		Run Escape prepares Item_Fb577 on Run Escape 
00:00:04.9680000		Blue Fever Caustic Bite Ramuh 8548
00:00:04.9680000		Ramuh gains Caustic Bite from Blue Fever
00:00:04.9680000		Blue Fever Shot Ramuh 4677
00:00:05.0130000		Yoo Rose gains Aetherflow from Yoo Rose
00:00:05.0130000		Yoo Rose prepares Energy Drain on Ramuh 8583 (DIRECT HIT)
00:00:05.0130000		Blue Fever prepares Battle Voice on Yoo Rose 
00:00:05.0130000		Blue Fever prepares Battle Voice on Run Escape 
00:00:05.0130000		Blue Fever prepares Battle Voice on Aihyooni Yoomi 
00:00:05.0130000		Blue Fever prepares Battle Voice on Dan Tam 
00:00:05.0130000		Blue Fever prepares Battle Voice on Yujin Ahn 
00:00:05.0130000		Blue Fever prepares Battle Voice on Dengue Fever 
00:00:05.0130000		Blue Fever prepares Battle Voice on Minju Rose 
00:00:05.0130000		The limit break guage has been updated to 340. 3 bars are available.
00:00:05.1020000		Minju Rose gains Fight Or Flight from Minju Rose
00:00:05.1460000		Minju Rose Attack Ramuh 2423
00:00:05.1910000		Aihyooni Yoomi prepares Broil III on Ramuh 19455
00:00:05.2800000		Dan Tam Mug Ramuh 7708
00:00:05.2800000		Minju Rose prepares Riot Blade on Ramuh 10726
00:00:05.3240000		Dan Tam Attack Ramuh 4783
00:00:05.3680000		Blue Fever Empyreal Arrow Ramuh 12073
00:00:05.3680000		Ruby Carbuncle Flaming Crush Ramuh 12869
00:00:05.3680000		Yoo Rose gains Further Ruin from Yoo Rose
00:00:05.3680000		Yujin Ahn Maim Ramuh 8661
00:00:05.3690000		Ruby Carbuncle prepares Inferno on Ramuh 18909 (DIRECT HIT)
00:00:05.3690000		Dengue Fever prepares Glare on Ramuh 21259
00:00:05.4130000		Yujin Ahn prepares Infuriate on Yujin Ahn 
00:00:05.4130000		Dan Tam prepares Bunshin on Dan Tam 
00:00:05.4130000		Yujin Ahn gains Nascent Chaos from Yujin Ahn
00:00:05.4130000		Dan Tam gains Bunshin from Dan Tam
00:00:05.5910000		Ruby Carbuncle Burning Strike Ramuh 5182
00:00:05.6350000		Yoo Rose gains Battle Voice from Blue Fever
00:00:05.6350000		Ruby Carbuncle gains Battle Voice from Blue Fever
00:00:05.7690000		Run Escape gains Battle Voice from Blue Fever
00:00:05.7690000		Run Escape gains Medicated from Run Escape
00:00:05.7690000		Yujin Ahn prepares Attack on Ramuh 3718
00:00:05.7690000		Ifrit-Egi gains Battle Voice from Blue Fever
00:00:05.7690000		Ifrit-Egi gains Medicated from Run Escape
00:00:05.8130000		Aihyooni Yoomi prepares Ruin II on Ramuh 13872
00:00:05.9010000		Aihyooni Yoomi gains Battle Voice from Blue Fever
00:00:05.9010000		Ifrit-Egi Flaming Crush Ramuh 14108
00:00:05.9010000		Run Escape gains Further Ruin from Run Escape
00:00:05.9010000		Eos gains Battle Voice from Blue Fever
00:00:05.9460000		Yoo Rose prepares Assault Ii: Flaming Crush on Ramuh +239 (CRITICAL)
00:00:05.9900000		Aihyooni Yoomi Broil III Ramuh 19455
00:00:06.0350000		Dan Tam gains Battle Voice from Blue Fever
00:00:06.0350000		Minju Rose Riot Blade Ramuh 10726
00:00:06.0350000		Ramuh prepares Unknown_4Bc9 on Minju Rose +0 (CRITICAL)
00:00:06.0350000		Bunshin gains Well Fed from Dan Tam
00:00:06.0350000		Bunshin gains Devotion from Ifrit-Egi
00:00:06.0350000		Bunshin gains The Wanderer's Minuet from Blue Fever
00:00:06.0350000		Bunshin gains Battle Voice from Blue Fever
00:00:06.0790000		Yoo Rose Energy Drain Ramuh 8583
00:00:06.1240000		Blue Fever prepares Refulgent Arrow on Ramuh 17563
00:00:06.1680000		Ramuh Unknown_4Bc9 Minju Rose 0
00:00:06.1680000		Yujin Ahn gains Battle Voice from Blue Fever
00:00:06.2130000		Dan Tam prepares Aeolian Edge on Ramuh 23845 (DIRECT HIT)
00:00:06.2130000		Dan Tam gains Bunshin from Dan Tam
00:00:06.3010000		Dengue Fever gains Battle Voice from Blue Fever
00:00:06.3010000		Ruby Carbuncle Inferno Ramuh 18909
00:00:06.3010000		Ramuh gains Inferno from Ruby Carbuncle
