-00:00:02.0070000		Run Escape casts Ruin III on Ramuh
-00:00:01.5620000		Dengue Fever casts Glare on Ramuh
-00:00:01.3390000		Yoo Rose casts Ruin III on Ramuh
-00:00:00.9810000		Minju Rose casts Holy Spirit on Ramuh
-00:00:00.1340000		Aihyooni Yoomi casts Broil III on Ramuh
00:00:00		Minju Rose prepares Holy Spirit on Ramuh 9138
00:00:00.4010000		Dengue Fever prepares Glare on Ramuh 31269 (CRITICAL)
00:00:00.5800000		Yoo Rose prepares Ruin III on Ramuh 16144 (DIRECT HIT)
00:00:00.7140000		Dan Tam prepares Suiton on Ramuh 27446 (DIRECT HIT)
00:00:00.7140000		Dan Tam gains Suiton from Dan Tam
00:00:00.7600000		The limit break guage has been updated to 0. 3 bars are available.
00:00:00.7600000		Minju Rose Holy Spirit Ramuh 9138
00:00:00.8040000		Aihyooni Yoomi gains Devotion from Ifrit-Egi
00:00:00.8040000		Eos gains Devotion from Ifrit-Egi
00:00:00.9380000		Dan Tam gains Devotion from Ifrit-Egi
00:00:00.9380000		Blue Fever prepares Stormbite on Ramuh 5447
00:00:00.9380000		Blue Fever prepares Shot on Ramuh 4642
00:00:01.0720000		Run Escape gains Devotion from Ifrit-Egi
00:00:01.0720000		Ifrit-Egi gains Devotion from Ifrit-Egi
00:00:01.2050000		Yujin Ahn gains Devotion from Ifrit-Egi
00:00:01.3400000		Yoo Rose gains Devotion from Ifrit-Egi
00:00:01.3400000		Ruby Carbuncle gains Devotion from Ifrit-Egi
00:00:01.3850000		Yoo Rose Ruin III Ramuh 16144
00:00:01.3850000		Dan Tam prepares Kassatsu on Dan Tam 
00:00:01.3850000		The limit break guage has been updated to 170. 3 bars are available.
00:00:01.3850000		Dan Tam gains Kassatsu from Dan Tam
00:00:01.4740000		Minju Rose gains Devotion from Ifrit-Egi
00:00:01.4740000		Ruby Carbuncle prepares Burning Strike on Ramuh 5479 (DIRECT HIT)
00:00:01.4740000		Yoo Rose prepares Assault I: Crimson Cyclone on Ramuh +239 (CRITICAL)
00:00:01.5180000		Ifrit-Egi prepares Burning Strike on Ramuh 5676 (DIRECT HIT)
00:00:01.6080000		Blue Fever gains Devotion from Ifrit-Egi
00:00:01.6080000		Blue Fever prepares Bloodletter on Ramuh 10339 (DIRECT HIT)
00:00:01.6080000		Dengue Fever prepares Dia on Ramuh 8080
00:00:01.6970000		Blue Fever Shot Ramuh 4642
00:00:01.6970000		Dengue Fever Glare Ramuh 31269
00:00:01.6970000		Dan Tam Suiton Ramuh 27446
00:00:01.7430000		Dengue Fever gains Devotion from Ifrit-Egi
00:00:01.7430000		Dan Tam prepares Attack on Ramuh 3862
00:00:01.7870000		Aihyooni Yoomi prepares Broil III on Ramuh 19534
00:00:02.0100000		Run Escape prepares Ruin III on Ramuh 16910 (DIRECT HIT)
00:00:02.0990000		Ruby Carbuncle gains Summon Order from Ramuh
00:00:02.0990000		Minju Rose prepares Attack on Ramuh 2964 (DIRECT HIT)
00:00:02.1430000		Ruby Carbuncle prepares Crimson Cyclone on Ramuh 15933 (DIRECT HIT)
00:00:02.2320000		Blue Fever Stormbite Ramuh 5447
00:00:02.2320000		Ramuh gains Stormbite from Blue Fever
00:00:02.2320000		Yoo Rose prepares Tri-Disaster on Ramuh 31783 (CRITICAL)
00:00:02.2320000		Dan Tam prepares Spinning Edge on Ramuh 13259 (CRITICAL)
00:00:02.2320000		Ramuh gains Bio III from Yoo Rose
00:00:02.2320000		Ramuh gains Miasma III from Yoo Rose
00:00:02.2780000		Ruby Carbuncle Burning Strike Ramuh 5479
00:00:02.2780000		Dan Tam Attack Ramuh 3862
00:00:02.2780000		Blue Fever prepares The Wanderer's Minuet on Ramuh 4701
00:00:02.2780000		Ramuh prepares Unknown_4Bc9 on Minju Rose 9795
00:00:02.2780000		Yoo Rose gains The Wanderer's Minuet from Blue Fever
00:00:02.2780000		Eos gains The Wanderer's Minuet from Blue Fever
00:00:02.2780000		Ruby Carbuncle gains The Wanderer's Minuet from Blue Fever
00:00:02.2780000		Ifrit-Egi gains The Wanderer's Minuet from Blue Fever
00:00:02.2780000		Minju Rose gains The Wanderer's Minuet from Blue Fever
00:00:02.2780000		Dengue Fever gains The Wanderer's Minuet from Blue Fever
00:00:02.2780000		Yujin Ahn gains The Wanderer's Minuet from Blue Fever
00:00:02.2780000		Aihyooni Yoomi gains The Wanderer's Minuet from Blue Fever
00:00:02.2780000		Dan Tam gains The Wanderer's Minuet from Blue Fever
00:00:02.2780000		Run Escape gains The Wanderer's Minuet from Blue Fever
00:00:02.3220000		Ifrit-Egi Burning Strike Ramuh 5676
00:00:02.3220000		Minju Rose prepares Fast Blade on Ramuh 7319 (DIRECT HIT)
00:00:02.3220000		Yujin Ahn prepares Heavy Swing on Ramuh 5986
00:00:02.3220000		Yujin Ahn prepares Attack on Ramuh 3944
00:00:02.5010000		Dengue Fever prepares Assize on Dengue Fever +18709
00:00:02.5010000		Dengue Fever prepares Assize on Ramuh 42027 (CRITICAL)
00:00:02.5010000		Dengue Fever prepares Assize on Dan Tam +28697 (CRITICAL)
00:00:02.5010000		Dengue Fever prepares Assize on Minju Rose +17955
00:00:02.5010000		Dengue Fever prepares Assize on Yujin Ahn +17984
00:00:02.5010000		Dengue Fever prepares Assize on Aihyooni Yoomi +18690
00:00:02.5010000		Dengue Fever prepares Assize on Run Escape +18173
00:00:02.5010000		Dengue Fever prepares Assize on Yoo Rose +27955 (CRITICAL)
00:00:02.5010000		Dengue Fever prepares Assize on Blue Fever +18628
00:00:02.5010000		Aihyooni Yoomi prepares Biolysis on Ramuh 
00:00:02.5900000		Aihyooni Yoomi Broil III Ramuh 19534
00:00:02.6340000		Minju Rose Attack Ramuh 2964
00:00:02.6340000		Dan Tam Spinning Edge Ramuh 13259
00:00:02.7230000		Run Escape prepares Assault I: Crimson Cyclone on Ramuh +239 (CRITICAL)
00:00:02.7690000		Ruby Carbuncle Crimson Cyclone Ramuh 15933
00:00:02.7690000		Yoo Rose gains Further Ruin from Yoo Rose
00:00:02.8130000		Run Escape Ruin III Ramuh 16910
00:00:02.8580000		Yujin Ahn Heavy Swing Ramuh 5986
00:00:02.8580000		Yujin Ahn Attack Ramuh 3944
00:00:02.9030000		Blue Fever The Wanderer's Minuet Ramuh 4701
00:00:02.9030000		Dengue Fever Dia Ramuh 8080
