-00:00:01.4320000		Dengue Fever casts Glare on Ramuh
-00:00:01.3880000		Aihyooni Yoomi casts Broil III on Ramuh
-00:00:00.9850000		Minju Rose casts Holy Spirit on Ramuh
-00:00:00.9400000		Yoo Rose casts Ruin III on Ramuh
00:00:00		Minju Rose prepares Holy Spirit on Ramuh 9984
00:00:00.0900000		Blue Fever gains Devotion from Ifrit-Egi
00:00:00.1800000		Blue Fever prepares Raging Strikes on Blue Fever 
00:00:00.2240000		Yujin Ahn gains Devotion from Ifrit-Egi
00:00:00.3590000		Dengue Fever gains Devotion from Ifrit-Egi
00:00:00.5380000		Dengue Fever prepares Glare on Ramuh 20867
00:00:00.5380000		Aihyooni Yoomi prepares Broil III on Ramuh 19867
00:00:00.7180000		Blue Fever gains Raging Strikes from Blue Fever
00:00:00.7630000		The limit break guage has been updated to 0. 3 bars are available.
00:00:00.7630000		Minju Rose Holy Spirit Ramuh 9984
00:00:00.9860000		Yoo Rose prepares Ruin III on Ramuh 16006 (DIRECT HIT)
00:00:01.1660000		Dan Tam prepares Suiton on Ramuh 30325 (DIRECT HIT)
00:00:01.1660000		Dan Tam gains Suiton from Dan Tam
00:00:01.2110000		Aihyooni Yoomi prepares Biolysis on Ramuh 
00:00:01.2550000		Blue Fever prepares Stormbite on Ramuh 6849 (DIRECT HIT)
00:00:01.2550000		Blue Fever prepares Shot on Ramuh 9020 (CRITICAL)
00:00:01.2550000		Blue Fever gains Straight Shot Ready from Blue Fever
00:00:01.3440000		Aihyooni Yoomi Broil III Ramuh 19867
00:00:01.7910000		Yoo Rose Ruin III Ramuh 16006
00:00:01.7920000		Dengue Fever prepares Dia on Ramuh 7983
00:00:01.8360000		Dengue Fever Glare Ramuh 20867
00:00:01.8360000		Ramuh gains Biolysis from Aihyooni Yoomi
00:00:01.8800000		Ruby Carbuncle prepares Burning Strike on Ramuh 4184
00:00:01.8800000		Dan Tam prepares Kassatsu on Dan Tam 
00:00:01.8800000		Dan Tam gains Kassatsu from Dan Tam
00:00:01.9690000		Yoo Rose prepares Assault I: Crimson Cyclone on Ramuh +239 (CRITICAL)
00:00:01.9690000		Blue Fever prepares Bloodletter on Ramuh 7898
00:00:01.9690000		Aihyooni Yoomi gains Aetherflow from Aihyooni Yoomi
00:00:01.9690000		Aihyooni Yoomi prepares Aetherflow on Aihyooni Yoomi 1000
00:00:02.0140000		Blue Fever Shot Ramuh 9020
00:00:02.1030000		The limit break guage has been updated to 170. 3 bars are available.
00:00:02.1470000		Dan Tam Suiton Ramuh 30325
00:00:02.1470000		Yujin Ahn prepares Heavy Swing on Ramuh 5785
00:00:02.1470000		Yujin Ahn prepares Attack on Ramuh 3889
00:00:02.1910000		Dan Tam prepares Attack on Ramuh 4800 (DIRECT HIT)
00:00:02.3690000		Ifrit-Egi prepares Burning Strike on Ramuh 5157 (DIRECT HIT)
00:00:02.5480000		Blue Fever Stormbite Ramuh 6849
00:00:02.5480000		Ramuh gains Stormbite from Blue Fever
00:00:02.5930000		Ruby Carbuncle gains Summon Order from Ramuh
00:00:02.6380000		Dan Tam prepares Spinning Edge on Ramuh 8341
00:00:02.6830000		Ruby Carbuncle Burning Strike Ramuh 4184
00:00:02.6830000		Yujin Ahn Heavy Swing Ramuh 5785
00:00:02.6830000		Yujin Ahn Attack Ramuh 3889
00:00:02.6830000		Blue Fever prepares The Wanderer's Minuet on Ramuh 4745
00:00:02.6830000		Minju Rose prepares Fast Blade on Ramuh 9314 (CRITICAL)
00:00:02.6830000		Ruby Carbuncle gains The Wanderer's Minuet from Blue Fever
