-00:00:01.5640000		Dengue Fever casts Glare on Ramuh
-00:00:01.3850000		Aihyooni Yoomi casts Broil III on Ramuh
-00:00:01.3400000		Yoo Rose casts Ruin III on Ramuh
-00:00:00.9820000		Minju Rose casts Holy Spirit on Ramuh
-00:00:00.3120000		Run Escape casts Ruin III on Ramuh
00:00:00		Minju Rose prepares Holy Spirit on Ramuh 9524
00:00:00.1340000		Aihyooni Yoomi gains Devotion from Ifrit-Egi
00:00:00.1340000		Eos gains Devotion from Ifrit-Egi
00:00:00.2680000		Run Escape gains Devotion from Ifrit-Egi
00:00:00.2680000		Ifrit-Egi gains Devotion from Ifrit-Egi
00:00:00.4020000		Minju Rose gains Devotion from Ifrit-Egi
00:00:00.4020000		Blue Fever prepares Stormbite on Ramuh 5029
00:00:00.4020000		Blue Fever prepares Shot on Ramuh 6954 (CRITICAL)
00:00:00.4020000		Dengue Fever prepares Glare on Ramuh 24825 (DIRECT HIT)
00:00:00.5360000		Yujin Ahn gains Devotion from Ifrit-Egi
00:00:00.5360000		Aihyooni Yoomi prepares Broil III on Ramuh 25777 (DIRECT HIT)
00:00:00.5810000		Yoo Rose prepares Ruin III on Ramuh 12525
00:00:00.6260000		Dan Tam prepares Suiton on Ramuh 35526 (CRITICAL)
00:00:00.6260000		Dan Tam gains Suiton from Dan Tam
00:00:00.6720000		Blue Fever gains Devotion from Ifrit-Egi
00:00:00.7600000		The limit break guage has been updated to 0. 3 bars are available.
00:00:00.7600000		Minju Rose Holy Spirit Ramuh 9524
00:00:00.8030000		Yoo Rose gains Devotion from Ifrit-Egi
00:00:00.8030000		Ruby Carbuncle gains Well Fed from Yoo Rose
00:00:00.8030000		Ruby Carbuncle gains Devotion from Ifrit-Egi
00:00:00.9360000		Dengue Fever gains Devotion from Ifrit-Egi
00:00:01.1600000		Blue Fever Shot Ramuh 6954
00:00:01.1600000		Blue Fever prepares Bloodletter on Ramuh 12348 (CRITICAL)
00:00:01.1600000		Aihyooni Yoomi prepares Biolysis on Ramuh 
00:00:01.2500000		Ifrit-Egi prepares Burning Strike on Ramuh 7241 (CRITICAL)
00:00:01.2950000		Dan Tam prepares Kassatsu on Dan Tam 
00:00:01.2950000		Dan Tam gains Kassatsu from Dan Tam
00:00:01.3390000		Aihyooni Yoomi Broil III Ramuh 25777
00:00:01.3840000		Yoo Rose Ruin III Ramuh 12525
00:00:01.4720000		Ruby Carbuncle prepares Burning Strike on Ramuh 4171
00:00:01.5620000		Yoo Rose prepares Assault I: Crimson Cyclone on Ramuh +239 (CRITICAL)
00:00:01.6070000		Dan Tam Suiton Ramuh 35526
00:00:01.6510000		Dan Tam prepares Attack on Ramuh 3881
00:00:01.6510000		Run Escape prepares Ruin III on Ramuh 16494 (DIRECT HIT)
00:00:01.6970000		Blue Fever Stormbite Ramuh 5029
00:00:01.6970000		Ramuh gains Stormbite from Blue Fever
00:00:01.6970000		Dengue Fever Glare Ramuh 24825
00:00:01.6970000		Dengue Fever prepares Dia on Ramuh 8227
00:00:01.7850000		Ramuh gains Biolysis from Aihyooni Yoomi
00:00:01.9200000		Ramuh prepares Unknown_4Bc9 on Minju Rose 10794
00:00:01.9200000		Yujin Ahn prepares Heavy Swing on Ramuh 9374 (CRITICAL)
00:00:01.9200000		Yujin Ahn prepares Attack on Ramuh 3600
00:00:01.9200000		Aihyooni Yoomi gains Aetherflow from Aihyooni Yoomi
00:00:01.9200000		Aihyooni Yoomi prepares Aetherflow on Aihyooni Yoomi 1000
00:00:02.0530000		Ifrit-Egi Burning Strike Ramuh 7241
00:00:02.0980000		Minju Rose prepares Attack on Ramuh 2485
00:00:02.0980000		Dan Tam prepares Spinning Edge on Ramuh 9057
00:00:02.1440000		Blue Fever prepares The Wanderer's Minuet on Ramuh 5634 (DIRECT HIT)
00:00:02.1440000		Yoo Rose gains The Wanderer's Minuet from Blue Fever
00:00:02.1440000		Minju Rose gains The Wanderer's Minuet from Blue Fever
00:00:02.1440000		Dengue Fever gains The Wanderer's Minuet from Blue Fever
00:00:02.1440000		Yujin Ahn gains The Wanderer's Minuet from Blue Fever
00:00:02.1440000		Aihyooni Yoomi gains The Wanderer's Minuet from Blue Fever
00:00:02.1440000		Dan Tam gains The Wanderer's Minuet from Blue Fever
00:00:02.1440000		Run Escape gains The Wanderer's Minuet from Blue Fever
00:00:02.1440000		Eos gains The Wanderer's Minuet from Blue Fever
00:00:02.1440000		Ruby Carbuncle gains The Wanderer's Minuet from Blue Fever
00:00:02.1440000		Ifrit-Egi gains The Wanderer's Minuet from Blue Fever
00:00:02.1880000		Ruby Carbuncle gains Summon Order from Ramuh
