-21:51:45.6820000		The limit break guage has been updated to 0. 2 bars are available
00:00:00.6270000		The limit break guage has been updated to 0. 3 bars are available
00:00:01.3400000		The limit break guage has been updated to 220. 3 bars are available
00:00:03.2130000		White Crystal casts Salted Earth on White Crystal
00:00:04.3300000		The limit break guage has been updated to 440. 3 bars are available
00:00:04.4640000		Dengue Fever casts Assize on Dengue Fever
00:00:04.4640000		Dengue Fever casts Assize on Ramuh
00:00:04.4640000		Dengue Fever casts Assize on Angk H'zhet
00:00:04.4640000		Dengue Fever casts Assize on Moryn Ward
00:00:04.4640000		Dengue Fever casts Assize on Stone Wolf
00:00:04.4640000		Dengue Fever casts Assize on White Crystal
00:00:04.4640000		Dengue Fever casts Assize on Cagnazzo Tarakona
00:00:04.4640000		Dengue Fever casts Assize on Blue Fever
00:00:04.4640000		Dengue Fever casts Assize on Super Negative
00:00:07.3250000		The limit break guage has been updated to 660. 3 bars are available
00:00:07.4140000		Blue Fever casts Battle Voice on Moryn Ward
00:00:07.4140000		Blue Fever casts Battle Voice on Angk H'zhet
00:00:07.4140000		Blue Fever casts Battle Voice on White Crystal
00:00:07.4140000		Blue Fever casts Battle Voice on Cagnazzo Tarakona
00:00:07.4140000		Blue Fever casts Battle Voice on Super Negative
00:00:07.4140000		Blue Fever casts Battle Voice on Dengue Fever
00:00:07.4140000		Blue Fever casts Battle Voice on Stone Wolf
00:00:08.2180000		White Crystal casts Dark Missionary on White Crystal
00:00:08.2180000		White Crystal casts Dark Missionary on Angk H'zhet
00:00:08.2180000		White Crystal casts Dark Missionary on Super Negative
00:00:08.2180000		White Crystal casts Dark Missionary on Moryn Ward
00:00:08.2180000		White Crystal casts Dark Missionary on Dengue Fever
00:00:08.2180000		White Crystal casts Dark Missionary on Blue Fever
00:00:08.2180000		White Crystal casts Dark Missionary on Cagnazzo Tarakona
00:00:08.2180000		White Crystal casts Dark Missionary on Stone Wolf
00:00:10.0440000		Cagnazzo Tarakona casts Ley Lines on Cagnazzo Tarakona
00:00:10.0890000		Moryn Ward casts Dream Within A Dream on Ramuh
00:00:10.0890000		Moryn Ward casts Dream Within A Dream on Ramuh
00:00:10.0890000		Moryn Ward casts Dream Within A Dream on Ramuh
00:00:10.3570000		The limit break guage has been updated to 880. 3 bars are available
00:00:12.2330000		Ramuh casts Judgment Volts on White Crystal
00:00:12.2330000		Ramuh casts Judgment Volts on Angk H'zhet
00:00:12.2330000		Ramuh casts Judgment Volts on Cagnazzo Tarakona
00:00:12.2330000		Ramuh casts Judgment Volts on Super Negative
00:00:12.2330000		Ramuh casts Judgment Volts on Moryn Ward
00:00:12.2330000		Ramuh casts Judgment Volts on Dengue Fever
00:00:12.2330000		Ramuh casts Judgment Volts on Stone Wolf
00:00:12.2330000		Ramuh casts Judgment Volts on Blue Fever
00:00:13.3020000		Blue Fever casts Refulgent Arrow on Ramuh
00:00:13.3020000		Blue Fever casts Refulgent Arrow on Ramuh
00:00:13.3020000		Blue Fever casts Refulgent Arrow on Ramuh
00:00:13.3470000		The limit break guage has been updated to 1100. 3 bars are available
00:00:16.3240000		The limit break guage has been updated to 1320. 3 bars are available
00:00:19.3570000		The limit break guage has been updated to 1540. 3 bars are available
00:00:22.3450000		The limit break guage has been updated to 1760. 3 bars are available
00:00:25.3240000		The limit break guage has been updated to 1980. 3 bars are available
00:00:25.6350000		Seraph casts Consolation on Moryn Ward
00:00:25.6350000		Seraph casts Consolation on Cagnazzo Tarakona
00:00:25.6350000		Seraph casts Consolation on Angk H'zhet
00:00:25.6350000		Seraph casts Consolation on White Crystal
00:00:25.6350000		Seraph casts Consolation on Super Negative
00:00:25.6350000		Seraph casts Consolation on Blue Fever
00:00:25.6350000		Seraph casts Consolation on Dengue Fever
00:00:25.6350000		Seraph casts Consolation on Stone Wolf
00:00:28.3500000		The limit break guage has been updated to 2200. 3 bars are available
00:00:28.4830000		Seraph casts Consolation on Moryn Ward
00:00:28.4830000		Seraph casts Consolation on Cagnazzo Tarakona
00:00:28.4830000		Seraph casts Consolation on Angk H'zhet
00:00:28.4830000		Seraph casts Consolation on White Crystal
00:00:28.4830000		Seraph casts Consolation on Super Negative
00:00:28.4830000		Seraph casts Consolation on Dengue Fever
00:00:28.4830000		Seraph casts Consolation on Blue Fever
00:00:28.4830000		Seraph casts Consolation on Stone Wolf
00:00:29.1070000		Dengue Fever casts Medica II on Dengue Fever
00:00:29.1070000		Dengue Fever casts Medica II on Angk H'zhet
00:00:29.1070000		Dengue Fever casts Medica II on Cagnazzo Tarakona
00:00:29.1070000		Dengue Fever casts Medica II on White Crystal
00:00:29.1070000		Dengue Fever casts Medica II on Stone Wolf
00:00:29.1070000		Dengue Fever casts Medica II on Moryn Ward
00:00:29.1070000		Dengue Fever casts Medica II on Super Negative
00:00:29.1070000		Dengue Fever casts Medica II on Blue Fever
00:00:31.3310000		The limit break guage has been updated to 2420. 3 bars are available
00:00:34.3230000		The limit break guage has been updated to 2640. 3 bars are available
00:00:37.2260000		Moryn Ward casts Shukuchi on Moryn Ward
00:00:37.3600000		The limit break guage has been updated to 2860. 3 bars are available
00:00:37.5820000		Cagnazzo Tarakona casts Between The Lines on Cagnazzo Tarakona
00:00:38.9660000		Dengue Fever dies
00:00:40.3520000		The limit break guage has been updated to 3080. 3 bars are available
00:00:43.3440000		The limit break guage has been updated to 3300. 3 bars are available
00:00:46.3340000		The limit break guage has been updated to 3520. 3 bars are available
00:00:49.3670000		The limit break guage has been updated to 3740. 3 bars are available
00:00:49.4110000		Angk H'zhet casts Sacred Soil on Angk H'zhet
00:00:51.1960000		Selene casts Whispering Dawn on Angk H'zhet
00:00:51.1960000		Selene casts Whispering Dawn on White Crystal
