-00:00:01.6070000		Dengue Fever casts Glare on Ramuh
-00:00:00.5800000		Typhus Fever casts Holy Spirit on Ramuh
00:00:00		Nevik Seren prepares Tomahawk on Ramuh 6200 (CRITICAL)
00:00:00.1340000		Blue Fever prepares Raging Strikes on Blue Fever 
00:00:00.3570000		Dengue Fever prepares Glare on Ramuh 32734 (CRITICAL)
00:00:00.4010000		Typhus Fever prepares Holy Spirit on Ramuh 9872
00:00:00.4900000		Moryn Ward gains Doton from Moryn Ward
00:00:00.6680000		Blue Fever gains Raging Strikes from Blue Fever
00:00:00.7140000		The limit break guage has been updated to 0. 3 bars are available.
00:00:00.7140000		Nevik Seren Tomahawk Ramuh 6200
00:00:01.1120000		Vext Seren gains Galvanize from Vext Seren
00:00:01.1560000		Typhus Fever Holy Spirit Ramuh 9872
00:00:01.1560000		Moryn Ward gains Hidden from Moryn Ward
00:00:01.2010000		Moryn Ward prepares Ten on Moryn Ward 
00:00:01.2010000		Moryn Ward gains Mudra from Moryn Ward
00:00:01.2460000		Lorrie Laborn gains Galvanize from Vext Seren
00:00:01.2460000		The limit break guage has been updated to 220. 3 bars are available.
00:00:01.3780000		Blue Fever gains Galvanize from Vext Seren
00:00:01.5120000		Nyghtwel Tayuun gains Galvanize from Vext Seren
00:00:01.5560000		Blue Fever prepares Stormbite on Ramuh 5057
00:00:01.5560000		Blue Fever prepares Shot on Ramuh 7099 (CRITICAL)
00:00:01.5560000		Blue Fever gains Straight Shot Ready from Blue Fever
00:00:01.6460000		Typhus Fever gains Galvanize from Vext Seren
00:00:01.6460000		Moryn Ward prepares Chi on Moryn Ward 
00:00:01.6460000		Dengue Fever prepares Dia on Ramuh 7915
00:00:01.6460000		Moryn Ward gains Mudra from Moryn Ward
00:00:01.6900000		Dengue Fever Glare Ramuh 32734
00:00:01.6900000		Typhus Fever prepares Intervene on Ramuh 5432
00:00:01.7780000		Nevik Seren gains Galvanize from Vext Seren
00:00:01.9120000		Dengue Fever gains Galvanize from Vext Seren
00:00:01.9560000		Nevik Seren prepares Infuriate on Nevik Seren 
00:00:01.9560000		Nevik Seren gains Nascent Chaos from Nevik Seren
00:00:02.0440000		Moryn Ward gains Galvanize from Vext Seren
00:00:02.0440000		Nevik Seren prepares Attack on Ramuh 5972 (CRITICAL)
00:00:02.1770000		Moryn Ward prepares Jin on Moryn Ward 
00:00:02.1770000		Moryn Ward gains Mudra from Moryn Ward
00:00:02.2660000		Typhus Fever Intervene Ramuh 5432
00:00:02.3110000		Blue Fever Shot Ramuh 7099
00:00:02.3550000		Blue Fever prepares Bloodletter on Ramuh 7752
00:00:02.3990000		Typhus Fever prepares Circle Of Scorn on Ramuh 3156
00:00:02.4440000		Lorrie Laborn prepares Hakaze on Ramuh 9918 (DIRECT HIT)
00:00:02.4440000		Lorrie Laborn prepares Attack on Ramuh 6509 (CRITICAL)
00:00:02.4890000		Typhus Fever prepares Attack on Ramuh 2386
00:00:02.4890000		Dengue Fever prepares Assize on Dengue Fever +18060
00:00:02.4890000		Dengue Fever prepares Assize on Ramuh 27153
00:00:02.4890000		Dengue Fever prepares Assize on Lorrie Laborn +29148 (CRITICAL)
00:00:02.4890000		Dengue Fever prepares Assize on Typhus Fever +28345 (CRITICAL)
