-00:00:01.9610000		Dengue Fever casts Glare on Ramuh
-00:00:00.9360000		Typhus Fever casts Holy Spirit on Ramuh
00:00:00		Dengue Fever prepares Glare on Ramuh 20354
00:00:00.0440000		Typhus Fever prepares Holy Spirit on Ramuh 9758
00:00:00.2200000		Blue Fever prepares Raging Strikes on Blue Fever 
00:00:00.3090000		Nevik Seren prepares Tomahawk on Ramuh 6625 (CRITICAL)
00:00:00.3970000		Moryn Ward gains Hidden from Moryn Ward
00:00:00.7080000		Moryn Ward prepares Ten on Moryn Ward 
00:00:00.7080000		Moryn Ward gains Mudra from Moryn Ward
00:00:00.7530000		Blue Fever gains Raging Strikes from Blue Fever
00:00:00.7990000		The limit break guage has been updated to 0. 3 bars are available.
00:00:00.7990000		Typhus Fever Holy Spirit Ramuh 9758
00:00:01.0190000		Nevik Seren Tomahawk Ramuh 6625
00:00:01.1960000		Blue Fever prepares Shot on Ramuh 6992 (CRITICAL)
00:00:01.1960000		Moryn Ward prepares Chi on Moryn Ward 
00:00:01.1960000		Moryn Ward gains Mudra from Moryn Ward
00:00:01.2410000		Blue Fever prepares Stormbite on Ramuh 8312 (CRITICAL)
00:00:01.2410000		Dengue Fever prepares Dia on Ramuh 7838
00:00:01.2410000		Blue Fever gains Straight Shot Ready from Blue Fever
00:00:01.3290000		Dengue Fever Glare Ramuh 20354
00:00:01.3730000		Typhus Fever prepares Intervene on Ramuh 5374
00:00:01.5950000		Nevik Seren prepares Infuriate on Nevik Seren 
00:00:01.5950000		Nevik Seren gains Nascent Chaos from Nevik Seren
00:00:01.7280000		Moryn Ward prepares Jin on Moryn Ward 
00:00:01.7280000		Moryn Ward gains Mudra from Moryn Ward
00:00:01.9500000		Blue Fever Shot Ramuh 6992
00:00:01.9500000		Typhus Fever Intervene Ramuh 5374
00:00:01.9500000		Blue Fever prepares Bloodletter on Ramuh 8102
00:00:02.0830000		Dengue Fever prepares Assize on Dengue Fever +29638 (CRITICAL)
00:00:02.0830000		Dengue Fever prepares Assize on Ramuh 26719
00:00:02.0830000		Dengue Fever prepares Assize on Lorrie Laborn +18391
00:00:02.0830000		Dengue Fever prepares Assize on Moryn Ward +29502 (CRITICAL)
00:00:02.0830000		Dengue Fever prepares Assize on Nevik Seren +18453
00:00:02.0830000		Dengue Fever prepares Assize on Typhus Fever +18537
00:00:02.0830000		Dengue Fever prepares Assize on Nyghtwel Tayuun +18390
00:00:02.0830000		Dengue Fever prepares Assize on Vext Seren +18841
00:00:02.0830000		Dengue Fever prepares Assize on Blue Fever +18746
00:00:02.1280000		Typhus Fever prepares Circle Of Scorn on Ramuh 3099
00:00:02.1280000		Typhus Fever prepares Attack on Ramuh 2345
00:00:02.1720000		Moryn Ward prepares Attack on Ramuh 4893 (DIRECT HIT)
00:00:02.2170000		Moryn Ward prepares Suiton on Ramuh 28666 (DIRECT HIT)
00:00:02.2170000		Moryn Ward gains Suiton from Moryn Ward
00:00:02.2610000		Lorrie Laborn prepares Hakaze on Ramuh 7999
00:00:02.2610000		Lorrie Laborn prepares Attack on Ramuh 3879
00:00:02.3490000		Nevik Seren prepares Attack on Ramuh 3559
00:00:02.4380000		Vext Seren prepares Broil III on Ramuh 18666
00:00:02.5270000		Blue Fever Stormbite Ramuh 8312
00:00:02.5270000		Ramuh gains Stormbite from Blue Fever
00:00:02.5710000		Dengue Fever Dia Ramuh 7838
00:00:02.5710000		Ramuh gains Dia from Dengue Fever
00:00:02.6590000		Typhus Fever Attack Ramuh 2345
00:00:02.6590000		Nevik Seren prepares Heavy Swing on Ramuh 5694
00:00:02.7040000		Moryn Ward Attack Ramuh 4893
00:00:02.7040000		Blue Fever prepares The Wanderer's Minuet on Ramuh 5230 (DIRECT HIT)
00:00:02.7040000		Nyghtwel Tayuun gains The Wanderer's Minuet from Blue Fever
00:00:02.7040000		Vext Seren gains The Wanderer's Minuet from Blue Fever
00:00:02.7040000		Typhus Fever gains The Wanderer's Minuet from Blue Fever
00:00:02.7040000		Moryn Ward gains The Wanderer's Minuet from Blue Fever
00:00:02.7040000		Dengue Fever gains The Wanderer's Minuet from Blue Fever
00:00:02.7040000		Nevik Seren gains The Wanderer's Minuet from Blue Fever
00:00:02.7040000		Lorrie Laborn gains The Wanderer's Minuet from Blue Fever
00:00:02.7040000		Eos gains Well Fed from Vext Seren
00:00:02.7040000		Eos gains The Wanderer's Minuet from Blue Fever
00:00:02.7930000		Lorrie Laborn Attack Ramuh 3879
00:00:02.8810000		Dengue Fever Assize Ramuh 26719
00:00:02.8810000		Nevik Seren Attack Ramuh 3559
00:00:02.9260000		Lorrie Laborn Hakaze Ramuh 7999
00:00:02.9260000		Ramuh prepares Unknown_4Bc9 on Nevik Seren 29200
00:00:02.9700000		Dengue Fever prepares Presence Of Mind on Dengue Fever 
00:00:03.0590000		Vext Seren prepares Biolysis on Ramuh +1895 (CRITICAL)
00:00:03.0590000		Typhus Fever prepares Fast Blade on Ramuh 5240
00:00:03.1470000		Typhus Fever Circle Of Scorn Ramuh 3099
00:00:03.1470000		Ramuh gains Circle Of Scorn from Typhus Fever
00:00:03.1470000		Lorrie Laborn prepares Ikishoten on Lorrie Laborn 
00:00:03.1920000		Moryn Ward Suiton Ramuh 28666
00:00:03.1920000		Lorrie Laborn Ikishoten Lorrie Laborn 0
00:00:03.1920000		Nevik Seren Heavy Swing Ramuh 5694
00:00:03.2360000		Vext Seren Broil III Ramuh 18666
00:00:03.2800000		Nyghtwel Tayuun prepares Blizzard III on Ramuh 24129 (CRITICAL)
00:00:03.3680000		Blue Fever The Wanderer's Minuet Ramuh 5230
00:00:03.5030000		Dengue Fever gains Presence Of Mind from Dengue Fever
00:00:03.5470000		Blue Fever Bloodletter Ramuh 8102
00:00:03.6800000		Typhus Fever Fast Blade Ramuh 5240
00:00:03.7250000		Ramuh Unknown_4Bc9 Nevik Seren 29200
00:00:03.7250000		Ramuh gains Biolysis from Vext Seren
00:00:03.7250000		Blue Fever prepares Caustic Bite on Ramuh 8038
00:00:03.7250000		Moryn Ward prepares Spinning Edge on Ramuh 13877 (CRITICAL)
00:00:03.7250000		The limit break guage has been updated to 220. 3 bars are available.
00:00:03.8130000		Typhus Fever prepares Spirits Within on Ramuh 9876
00:00:03.8570000		Eos prepares Embrace on Nevik Seren +4299
00:00:04.1220000		Moryn Ward Spinning Edge Ramuh 13877
00:00:04.2110000		Nyghtwel Tayuun Blizzard III Ramuh 24129
00:00:04.2550000		Blue Fever prepares Shot on Ramuh 6616 (CRITICAL)
00:00:04.2990000		Nyghtwel Tayuun prepares Ley Lines on Nyghtwel Tayuun 737
00:00:04.2990000		Vext Seren gains Aetherflow from Vext Seren
00:00:04.2990000		Vext Seren prepares Aetherflow on Vext Seren 1000
00:00:04.3880000		Typhus Fever prepares Attack on Ramuh 2189
00:00:04.3880000		Moryn Ward prepares Attack on Ramuh 3749
00:00:04.4770000		Eos Embrace Nevik Seren 4299
00:00:04.6550000		Blue Fever prepares Empyreal Arrow on Ramuh 12013
00:00:04.6550000		Lorrie Laborn prepares Shifu on Ramuh 12924
00:00:04.7440000		Typhus Fever Spirits Within Ramuh 9876
00:00:04.7880000		Nyghtwel Tayuun gains Ley Lines from Nyghtwel Tayuun
00:00:04.7880000		Nyghtwel Tayuun gains Circle Of Power from Nyghtwel Tayuun
00:00:04.9210000		Typhus Fever Attack Ramuh 2189
00:00:04.9210000		Moryn Ward Attack Ramuh 3749
00:00:04.9210000		Lorrie Laborn prepares Attack on Ramuh 4040
00:00:05.0110000		Blue Fever Shot Ramuh 6616
00:00:05.0110000		Vext Seren prepares Lucid Dreaming on Vext Seren 
00:00:05.0110000		Nevik Seren prepares Maim on Ramuh 8575
00:00:05.0550000		Blue Fever Caustic Bite Ramuh 8038
00:00:05.0550000		Ramuh gains Caustic Bite from Blue Fever
00:00:05.1430000		Dengue Fever prepares Glare on Ramuh 30322 (CRITICAL)
00:00:05.4090000		Typhus Fever prepares Riot Blade on Ramuh 8045
00:00:05.4540000		Lorrie Laborn Shifu Ramuh 12924
00:00:05.4540000		Lorrie Laborn gains Shifu from Lorrie Laborn
00:00:05.4540000		Lorrie Laborn Attack Ramuh 4040
00:00:05.5860000		Blue Fever prepares Battle Voice on Vext Seren 
00:00:05.5860000		Blue Fever prepares Battle Voice on Nyghtwel Tayuun 
00:00:05.5860000		Blue Fever prepares Battle Voice on Moryn Ward 
00:00:05.5860000		Blue Fever prepares Battle Voice on Lorrie Laborn 
00:00:05.5860000		Blue Fever prepares Battle Voice on Dengue Fever 
00:00:05.5860000		Blue Fever prepares Battle Voice on Typhus Fever 
00:00:05.5860000		Blue Fever prepares Battle Voice on Nevik Seren 
00:00:05.6310000		Vext Seren gains Lucid Dreaming from Vext Seren
00:00:05.6310000		Nevik Seren Maim Ramuh 8575
00:00:05.7190000		Blue Fever Empyreal Arrow Ramuh 12013
00:00:05.7190000		Vext Seren gains Aetherflow from Vext Seren
00:00:05.7190000		Vext Seren prepares Energy Drain on Ramuh 9958
00:00:05.7190000		Nevik Seren prepares Attack on Ramuh 5807 (CRITICAL)
00:00:05.8530000		Moryn Ward prepares Gust Slash on Ramuh 21550 (CRITICAL)
00:00:06.0740000		Typhus Fever prepares Fight Or Flight on Typhus Fever 
00:00:06.1620000		Typhus Fever Riot Blade Ramuh 8045
00:00:06.2520000		Vext Seren gains Battle Voice from Blue Fever
00:00:06.2520000		Moryn Ward Gust Slash Ramuh 21550
00:00:06.2520000		Nevik Seren Attack Ramuh 5807
00:00:06.2520000		Blue Fever prepares Refulgent Arrow on Ramuh 17696
00:00:06.2520000		Nyghtwel Tayuun gains The Wanderer's Minuet from Blue Fever
00:00:06.2520000		Vext Seren gains The Wanderer's Minuet from Blue Fever
00:00:06.2520000		Typhus Fever gains The Wanderer's Minuet from Blue Fever
00:00:06.2520000		Moryn Ward gains The Wanderer's Minuet from Blue Fever
00:00:06.2520000		Dengue Fever gains The Wanderer's Minuet from Blue Fever
00:00:06.2520000		Nevik Seren gains The Wanderer's Minuet from Blue Fever
00:00:06.2520000		Lorrie Laborn gains The Wanderer's Minuet from Blue Fever
00:00:06.2520000		Eos gains The Wanderer's Minuet from Blue Fever
00:00:06.2520000		Eos gains Battle Voice from Blue Fever
00:00:06.3840000		Nyghtwel Tayuun gains Battle Voice from Blue Fever
00:00:06.4720000		Dengue Fever Glare Ramuh 30322
00:00:06.5170000		Moryn Ward gains Battle Voice from Blue Fever
00:00:06.5170000		Nyghtwel Tayuun prepares Thunder III on Ramuh 4167
00:00:06.5170000		Nyghtwel Tayuun gains Thundercloud from Nyghtwel Tayuun
00:00:06.6050000		Moryn Ward prepares Attack on Ramuh 4886 (DIRECT HIT)
00:00:06.6500000		Lorrie Laborn gains Battle Voice from Blue Fever
00:00:06.6500000		Typhus Fever prepares Attack on Ramuh 2267
00:00:06.6940000		Vext Seren prepares Chain Stratagem on Ramuh 
00:00:06.7380000		Typhus Fever gains Fight Or Flight from Typhus Fever
00:00:06.7380000		The limit break guage has been updated to 440. 3 bars are available.
00:00:06.7820000		Dengue Fever gains Battle Voice from Blue Fever
00:00:06.7820000		Vext Seren Energy Drain Ramuh 9958
00:00:06.8700000		Typhus Fever prepares Intervene on Ramuh 10626 (CRITICAL)
00:00:06.9150000		Typhus Fever gains Battle Voice from Blue Fever
00:00:06.9150000		Moryn Ward prepares Trick Attack on Ramuh 23893 (DIRECT HIT)
00:00:06.9150000		Ramuh gains Vulnerability Up from Moryn Ward
00:00:07.0030000		Blue Fever prepares Sidewinder on Ramuh 16413
00:00:07.0480000		Nevik Seren gains Battle Voice from Blue Fever
00:00:07.0480000		Eos prepares Embrace on Nevik Seren +4453
00:00:07.0480000		Lorrie Laborn prepares Kasha on Ramuh 20532
00:00:07.1360000		Moryn Ward Attack Ramuh 4886
00:00:07.1800000		Typhus Fever Attack Ramuh 2267
00:00:07.2250000		Lorrie Laborn prepares Attack on Ramuh 5170 (DIRECT HIT)
00:00:07.3130000		Blue Fever prepares Shot on Ramuh 5561 (DIRECT HIT)
00:00:07.3570000		Nevik Seren prepares Storm's Eye on Ramuh 13972 (DIRECT HIT)
00:00:07.4460000		Typhus Fever Intervene Ramuh 10626
00:00:07.4900000		Ramuh gains Chain Stratagem from Vext Seren
00:00:07.5340000		Blue Fever Sidewinder Ramuh 16413
00:00:07.5790000		Nyghtwel Tayuun Thunder III Ramuh 4167
00:00:07.5790000		Ramuh gains Thunder III from Nyghtwel Tayuun
00:00:07.5790000		Dengue Fever prepares Glare on Ramuh 31511 (CRITICAL)
00:00:07.6670000		Eos Embrace Nevik Seren 4453
00:00:07.7120000		Blue Fever Refulgent Arrow Ramuh 17696
00:00:07.7120000		Moryn Ward Trick Attack Ramuh 23893
00:00:07.7120000		Lorrie Laborn Kasha Ramuh 20532
00:00:07.7560000		Lorrie Laborn Attack Ramuh 5170
00:00:07.8000000		Typhus Fever prepares Goring Blade on Ramuh 13923
