-00:00:01.2990000		Dengue Fever casts Glare on Ramuh
-00:00:00.4030000		Typhus Fever casts Holy Spirit on Ramuh
00:00:00		Nevik Seren prepares Tomahawk on Ramuh 4070
00:00:00.4490000		Moryn Ward gains Doton from Moryn Ward
00:00:00.5840000		Vext Seren prepares Succor on Vext Seren +8210
00:00:00.5840000		Vext Seren prepares Succor on Typhus Fever +8032
00:00:00.5840000		Vext Seren prepares Succor on Blue Fever +8342
00:00:00.5840000		Vext Seren prepares Succor on Lorrie Laborn +8271
00:00:00.5840000		Vext Seren prepares Succor on Nyghtwel Tayuun +13147 (CRITICAL)
00:00:00.5840000		Vext Seren prepares Succor on Moryn Ward +8086
00:00:00.5840000		Vext Seren prepares Succor on Nevik Seren +13102 (CRITICAL)
00:00:00.5840000		Vext Seren prepares Succor on Dengue Fever +8020
00:00:00.5840000		Typhus Fever prepares Holy Spirit on Ramuh 9092
00:00:00.6280000		Blue Fever prepares Raging Strikes on Blue Fever 
00:00:00.6280000		Dengue Fever prepares Glare on Ramuh 30036 (CRITICAL)
00:00:00.7170000		The limit break guage has been updated to 0. 3 bars are available.
00:00:00.7170000		Nevik Seren Tomahawk Ramuh 4070
00:00:01.0310000		Moryn Ward prepares Ten on Moryn Ward 
00:00:01.0310000		Moryn Ward gains Mudra from Moryn Ward
00:00:01.0740000		Moryn Ward gains Hidden from Moryn Ward
00:00:01.1630000		Blue Fever gains Raging Strikes from Blue Fever
00:00:01.3430000		Typhus Fever Holy Spirit Ramuh 9092
00:00:01.3430000		Blue Fever prepares Stormbite on Ramuh 9755 (CRITICAL)
00:00:01.3430000		Blue Fever prepares Shot on Ramuh 6682 (CRITICAL)
00:00:01.4330000		Typhus Fever prepares Intervene on Ramuh 5443
00:00:01.4330000		Moryn Ward prepares Chi on Moryn Ward 
00:00:01.4330000		Moryn Ward gains Mudra from Moryn Ward
00:00:01.4770000		The limit break guage has been updated to 220. 3 bars are available.
00:00:01.5660000		Nevik Seren prepares Infuriate on Nevik Seren 
00:00:01.5660000		Nevik Seren gains Nascent Chaos from Nevik Seren
00:00:01.7000000		Vext Seren gains Galvanize from Vext Seren
00:00:01.8340000		Typhus Fever gains Galvanize from Vext Seren
00:00:01.9220000		Dengue Fever Glare Ramuh 30036
00:00:01.9220000		Dengue Fever prepares Dia on Ramuh 8056
00:00:01.9670000		Blue Fever gains Galvanize from Vext Seren
00:00:01.9670000		Lorrie Laborn prepares Hakaze on Ramuh 13560 (CRITICAL)
00:00:01.9670000		Lorrie Laborn prepares Attack on Ramuh 4031
00:00:02.0110000		Typhus Fever Intervene Ramuh 5443
00:00:02.0110000		Blue Fever prepares Bloodletter on Ramuh 11810 (CRITICAL)
00:00:02.0110000		Moryn Ward prepares Jin on Moryn Ward 
00:00:02.0110000		Moryn Ward gains Mudra from Moryn Ward
00:00:02.0550000		Nevik Seren prepares Attack on Ramuh 3764
00:00:02.0990000		Lorrie Laborn gains Galvanize from Vext Seren
00:00:02.0990000		Blue Fever Shot Ramuh 6682
00:00:02.2330000		Nyghtwel Tayuun gains Galvanize from Vext Seren
00:00:02.2330000		Typhus Fever prepares Circle Of Scorn on Ramuh 3325
00:00:02.3670000		Moryn Ward gains Galvanize from Vext Seren
00:00:02.4110000		Ramuh prepares Unknown_4Bc9 on Nevik Seren 28784
00:00:02.5010000		Nevik Seren gains Galvanize from Vext Seren
00:00:02.5010000		Lorrie Laborn Attack Ramuh 4031
00:00:02.5900000		Nevik Seren Attack Ramuh 3764
00:00:02.5900000		Lorrie Laborn Hakaze Ramuh 13560
00:00:02.5900000		Moryn Ward prepares Suiton on Ramuh 30793 (DIRECT HIT)
00:00:02.5900000		Moryn Ward gains Suiton from Moryn Ward
00:00:02.6340000		Dengue Fever gains Galvanize from Vext Seren
00:00:02.6340000		Blue Fever Stormbite Ramuh 9755
00:00:02.6340000		Ramuh gains Stormbite from Blue Fever
00:00:02.6780000		Typhus Fever prepares Attack on Ramuh 2328
00:00:02.7680000		Blue Fever prepares The Wanderer's Minuet on Ramuh 4253
00:00:02.7680000		Dengue Fever prepares Assize on Dengue Fever +18785
00:00:02.7680000		Dengue Fever prepares Assize on Ramuh 25551
00:00:02.7680000		Dengue Fever prepares Assize on Lorrie Laborn +18292
00:00:02.7680000		Dengue Fever prepares Assize on Nevik Seren +18754
00:00:02.7680000		Dengue Fever prepares Assize on Typhus Fever +18485
00:00:02.7680000		Dengue Fever prepares Assize on Moryn Ward +28214 (CRITICAL)
00:00:02.7680000		Dengue Fever prepares Assize on Nyghtwel Tayuun +18554
00:00:02.7680000		Dengue Fever prepares Assize on Vext Seren +17933
00:00:02.7680000		Dengue Fever prepares Assize on Blue Fever +18796
00:00:02.7680000		Nyghtwel Tayuun gains The Wanderer's Minuet from Blue Fever
00:00:02.7680000		Vext Seren gains The Wanderer's Minuet from Blue Fever
00:00:02.7680000		Dengue Fever gains The Wanderer's Minuet from Blue Fever
00:00:02.7680000		Eos gains The Wanderer's Minuet from Blue Fever
00:00:02.7680000		Typhus Fever gains The Wanderer's Minuet from Blue Fever
00:00:02.7680000		Moryn Ward gains The Wanderer's Minuet from Blue Fever
00:00:02.7680000		Nevik Seren gains The Wanderer's Minuet from Blue Fever
00:00:02.7680000		Lorrie Laborn gains The Wanderer's Minuet from Blue Fever
00:00:02.8570000		Lorrie Laborn prepares Ikishoten on Lorrie Laborn 
00:00:03.1240000		Nyghtwel Tayuun prepares Blizzard III on Ramuh 15366
00:00:03.2140000		Ramuh Unknown_4Bc9 Nevik Seren 28784
00:00:03.2140000		Dengue Fever Dia Ramuh 8056
00:00:03.2140000		Ramuh gains Dia from Dengue Fever
00:00:03.2140000		Typhus Fever Attack Ramuh 2328
00:00:03.2590000		Typhus Fever Circle Of Scorn Ramuh 3325
00:00:03.2590000		Ramuh gains Circle Of Scorn from Typhus Fever
00:00:03.3480000		Nevik Seren prepares Heavy Swing on Ramuh 9228 (CRITICAL)
00:00:03.3930000		Blue Fever The Wanderer's Minuet Ramuh 4253
00:00:03.3930000		Typhus Fever prepares Fast Blade on Ramuh 5455
00:00:03.4370000		Lorrie Laborn Ikishoten Lorrie Laborn 0
00:00:03.5700000		Dengue Fever Assize Ramuh 25551
00:00:03.5700000		Moryn Ward Suiton Ramuh 30793
00:00:03.6140000		Blue Fever Bloodletter Ramuh 11810
00:00:03.6140000		Eos prepares Embrace on Nevik Seren +7078 (CRITICAL)
00:00:03.6140000		Moryn Ward prepares Attack on Ramuh 3913
00:00:03.6580000		Dengue Fever prepares Presence Of Mind on Dengue Fever 
00:00:03.7930000		Vext Seren prepares Broil III on Ramuh 18251
00:00:03.7930000		Blue Fever prepares Caustic Bite on Ramuh 11745 (CRITICAL)
00:00:03.7930000		Blue Fever gains Straight Shot Ready from Blue Fever
00:00:03.8360000		Dengue Fever Assize Nevik Seren 18754
00:00:03.8810000		Nevik Seren Heavy Swing Ramuh 9228
00:00:04.0150000		Nyghtwel Tayuun Blizzard III Ramuh 15366
00:00:04.0150000		Typhus Fever Fast Blade Ramuh 5455
00:00:04.0610000		Moryn Ward prepares Spinning Edge on Ramuh 8701
00:00:04.1500000		Moryn Ward Attack Ramuh 3913
00:00:04.1500000		Typhus Fever prepares Spirits Within on Ramuh 10298
00:00:04.1960000		Dengue Fever gains Presence Of Mind from Dengue Fever
00:00:04.2410000		Eos Embrace Nevik Seren 7078
00:00:04.3740000		Lorrie Laborn prepares Shifu on Ramuh 16873 (DIRECT HIT)
00:00:04.4180000		Blue Fever prepares Shot on Ramuh 4244
00:00:04.4620000		Moryn Ward Spinning Edge Ramuh 8701
00:00:04.4620000		The limit break guage has been updated to 440. 3 bars are available.
00:00:04.5070000		Blue Fever prepares Empyreal Arrow on Ramuh 12081
00:00:04.5950000		Vext Seren Broil III Ramuh 18251
00:00:04.5950000		Vext Seren gains Aetherflow from Vext Seren
00:00:04.5950000		Vext Seren prepares Aetherflow on Vext Seren 1000
00:00:04.6390000		Lorrie Laborn prepares Attack on Ramuh 6661 (CRITICAL)
00:00:04.9490000		Typhus Fever prepares Attack on Ramuh 2267
00:00:05.0840000		Blue Fever Caustic Bite Ramuh 11745
00:00:05.0840000		Ramuh gains Caustic Bite from Blue Fever
00:00:05.0840000		Typhus Fever Spirits Within Ramuh 10298
00:00:05.1730000		Blue Fever Shot Ramuh 4244
00:00:05.1730000		Lorrie Laborn Shifu Ramuh 16873
00:00:05.1730000		Lorrie Laborn gains Shifu from Lorrie Laborn
00:00:05.1730000		Lorrie Laborn Attack Ramuh 6661
00:00:05.3520000		Blue Fever prepares Battle Voice on Nyghtwel Tayuun 
00:00:05.3520000		Blue Fever prepares Battle Voice on Vext Seren 
00:00:05.3520000		Blue Fever prepares Battle Voice on Moryn Ward 
00:00:05.3520000		Blue Fever prepares Battle Voice on Lorrie Laborn 
00:00:05.3520000		Blue Fever prepares Battle Voice on Typhus Fever 
00:00:05.3520000		Blue Fever prepares Battle Voice on Dengue Fever 
00:00:05.3520000		Blue Fever prepares Battle Voice on Nevik Seren 
00:00:05.3970000		Vext Seren prepares Chain Stratagem on Ramuh 
00:00:05.4420000		Nyghtwel Tayuun prepares Thunder III on Ramuh 4432
00:00:05.4420000		Ramuh prepares Unknown_4Bc9 on Nevik Seren 10348
00:00:05.4420000		Nevik Seren prepares Attack on Ramuh 3724
