-00:00:01.8220000		Dengue Fever casts Glare on Ramuh
-00:00:01.3340000		Nyghtwel Tayuun casts Blizzard III on Ramuh
-00:00:01.0220000		Vext Seren casts Broil III on Ramuh
-00:00:00.5780000		Typhus Fever casts Holy Spirit on Ramuh
00:00:00		Nevik Seren prepares Tomahawk on Ramuh 3786
00:00:00.1340000		Dengue Fever prepares Glare on Ramuh 19275
00:00:00.4010000		Typhus Fever prepares Holy Spirit on Ramuh 9295
00:00:00.4900000		Moryn Ward gains Doton from Moryn Ward
00:00:00.4900000		Blue Fever prepares Raging Strikes on Blue Fever 
00:00:00.7160000		The limit break guage has been updated to 0. 3 bars are available.
00:00:00.7160000		Nevik Seren Tomahawk Ramuh 3786
00:00:01.0250000		Blue Fever gains Raging Strikes from Blue Fever
00:00:01.0700000		Moryn Ward gains Hidden from Moryn Ward
00:00:01.1590000		Typhus Fever Holy Spirit Ramuh 9295
00:00:01.1600000		Blue Fever prepares Stormbite on Ramuh 6828 (DIRECT HIT)
00:00:01.1600000		Blue Fever prepares Shot on Ramuh 4495
00:00:01.1600000		Moryn Ward prepares Ten on Moryn Ward 
00:00:01.1600000		Moryn Ward gains Mudra from Moryn Ward
00:00:01.2480000		Nevik Seren prepares Infuriate on Nevik Seren 
00:00:01.2480000		Nevik Seren gains Nascent Chaos from Nevik Seren
00:00:01.2920000		Nyghtwel Tayuun prepares Blizzard III on Ramuh 15537
00:00:01.3810000		Typhus Fever prepares Intervene on Ramuh 5491
00:00:01.4260000		Dengue Fever Glare Ramuh 19275
00:00:01.4700000		Dengue Fever prepares Dia on Ramuh 8051
00:00:01.5600000		Moryn Ward prepares Chi on Moryn Ward 
00:00:01.5600000		Moryn Ward gains Mudra from Moryn Ward
00:00:01.6940000		The limit break guage has been updated to 220. 3 bars are available.
00:00:01.8730000		Nyghtwel Tayuun prepares Ley Lines on Nyghtwel Tayuun 737
00:00:01.8730000		Blue Fever prepares Bloodletter on Ramuh 8024
00:00:01.9170000		Blue Fever Shot Ramuh 4495
00:00:01.9620000		Typhus Fever Intervene Ramuh 5491
00:00:02.0510000		Nevik Seren prepares Attack on Ramuh 3819
00:00:02.0960000		Typhus Fever prepares Circle Of Scorn on Ramuh 5203 (CRITICAL)
00:00:02.0960000		Moryn Ward prepares Jin on Moryn Ward 
00:00:02.0960000		Lorrie Laborn prepares Hakaze on Ramuh 8195
00:00:02.0960000		Lorrie Laborn prepares Attack on Ramuh 6549 (CRITICAL)
00:00:02.0960000		Moryn Ward gains Mudra from Moryn Ward
00:00:02.1850000		Nyghtwel Tayuun Blizzard III Ramuh 15537
00:00:02.2740000		Dengue Fever prepares Assize on Dengue Fever +18815
00:00:02.2740000		Dengue Fever prepares Assize on Ramuh 27323
00:00:02.2740000		Dengue Fever prepares Assize on Lorrie Laborn +28757 (CRITICAL)
00:00:02.2740000		Dengue Fever prepares Assize on Typhus Fever +29415 (CRITICAL)
00:00:02.2740000		Dengue Fever prepares Assize on Moryn Ward +18481
00:00:02.2740000		Dengue Fever prepares Assize on Nyghtwel Tayuun +18487
00:00:02.2740000		Dengue Fever prepares Assize on Nevik Seren +17854
00:00:02.2740000		Dengue Fever prepares Assize on Blue Fever +18912
00:00:02.2740000		Dengue Fever prepares Assize on Vext Seren +18718
00:00:02.3640000		Nyghtwel Tayuun gains Ley Lines from Nyghtwel Tayuun
